RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
52,PJ Dozier,Den,G-F,23.96,12,10.4,21.7,17.2,17.0,14,0.5710000000000001,25,0.48,8,0.25,0.455,0.485,3.2,1.5,8.6,1.0,13.9,0.17,0.17,0.67,6.5,94.4,105.6
53,Goran Dragic,Mia,G,34.44,17,32.5,67.8,27.4,11.7,61,0.8029999999999999,161,0.509,107,0.34600000000000003,0.513,0.5489999999999999,19.1,4.1,7.2,4.4,24.1,1.0,0.12,2.29,8.6,106.8,104.5
54,Jared Dudley,Lal,F,35.26,9,3.4,7.1,8.5,33.3,0,0.0,1,0.0,3,0.0,0.0,0.0,0.0,0.2,3.8,0.0,0.0,0.44,0.11,0.22,0.0,,
55,Carsen Edwards,Bos,G,22.59,1,3.5,7.3,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,
56,Joel Embiid,Phi,C-F,26.58,4,36.2,75.3,34.6,13.0,59,0.8140000000000001,58,0.517,16,0.25,0.486,0.6,30.0,12.3,18.2,1.3,7.6,1.5,1.25,3.75,8.6,113.1,96.2
57,James Ennis III,Orl,F,30.28,5,23.8,49.6,16.1,13.3,9,0.778,19,0.42100000000000004,16,0.25,0.4,0.449,7.0,5.8,12.5,1.2,7.5,1.0,0.4,1.2,6.1,92.4,94.0
58,Tacko Fall,Bos,C,24.84,2,1.4,2.9,30.0,0.0,2,0.5,1,1.0,0,0.0,1.0,0.7979999999999999,1.5,0.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,,
59,Terrance Ferguson,Okc,G,22.41,4,10.4,21.7,12.4,8.3,0,0.0,1,0.0,10,0.2,0.273,0.273,1.5,1.0,5.0,0.3,3.4,0.25,0.0,0.25,2.9,63.2,106.4
60,Dorian Finney-Smith,Dal,F,27.44,6,31.8,66.2,14.3,14.2,5,0.8,22,0.545,30,0.36700000000000005,0.5479999999999999,0.563,10.2,5.7,9.7,3.2,13.4,1.17,0.5,1.5,7.2,116.1,103.4
61,Evan Fournier,Orl,G-F,27.95,5,34.1,71.1,18.4,12.2,17,0.706,22,0.364,35,0.34299999999999997,0.456,0.496,12.8,4.0,6.0,2.6,11.6,1.2,0.6,1.8,6.0,97.9,107.7
62,Michael Frazier,Hou,G,26.6,4,2.9,6.0,19.5,20.0,0,0.0,2,0.0,2,0.5,0.375,0.375,0.8,1.0,19.4,0.5,25.4,0.0,0.0,0.25,10.2,,
63,Markelle Fultz,Orl,G,22.37,5,29.3,61.1,22.1,17.1,7,0.857,44,0.409,16,0.375,0.45,0.47600000000000003,12.0,2.2,3.8,5.2,29.0,1.0,0.6,2.6,7.0,93.6,99.9
64,Wenyen Gabriel,Por,F,23.55,4,13.3,27.8,16.3,23.9,2,0.5,10,0.7,5,0.4,0.667,0.6609999999999999,5.3,2.5,9.9,1.0,12.2,0.5,0.5,1.25,7.1,116.3,88.0
65,Danilo Gallinari,Okc,F,32.18,7,30.3,63.0,21.8,14.0,30,0.9670000000000001,42,0.47600000000000003,37,0.324,0.48100000000000004,0.569,15.0,5.4,9.4,1.0,5.5,0.71,0.14,2.14,5.7,104.3,106.3
66,Marc Gasol,Tor,C,35.7,11,20.7,43.1,16.8,18.5,15,0.733,37,0.541,27,0.185,0.43,0.467,6.0,4.4,11.4,2.6,18.5,0.45,0.64,1.45,7.9,93.7,93.0
67,Paul George,Lac,F,30.45,13,36.8,76.7,26.1,14.0,55,0.909,110,0.46399999999999997,111,0.33299999999999996,0.48200000000000004,0.536,20.2,6.1,9.2,3.8,15.5,1.46,0.54,3.08,8.4,103.5,100.4
68,Shai Gilgeous-Alexander,Okc,G-F,22.25,7,39.9,83.0,17.8,13.0,23,0.9570000000000001,55,0.455,35,0.4,0.511,0.569,16.3,5.3,6.9,4.1,16.9,1.0,0.43,2.14,7.1,110.7,106.1
69,Rudy Gobert,Uta,C,28.29,7,38.6,80.4,17.6,8.9,42,0.524,74,0.649,0,0.0,0.649,0.638,16.9,11.4,17.3,1.1,4.6,0.57,1.43,1.29,6.2,126.8,102.0
70,Eric Gordon,Hou,G,31.8,12,34.1,71.1,23.8,11.0,40,0.875,86,0.5,90,0.322,0.491,0.537,17.3,2.7,4.4,3.0,14.7,0.83,0.58,2.0,6.1,105.2,109.8
71,Jerami Grant,Den,F,26.59,19,34.4,71.6,15.6,11.2,54,0.889,80,0.5,95,0.326,0.494,0.556,11.6,3.3,5.7,1.3,5.5,0.58,0.74,1.32,4.3,107.0,108.4
72,Danny Green,Lal,G,33.31,21,25.0,52.1,15.7,6.4,15,0.667,55,0.364,115,0.33899999999999997,0.462,0.473,8.0,3.1,7.4,1.2,6.7,0.95,0.76,0.57,5.0,103.5,102.7
73,JaMychal Green,Lac,F-C,30.31,13,17.1,35.5,12.6,7.8,9,0.778,32,0.6559999999999999,23,0.435,0.655,0.67,6.1,3.8,12.3,0.5,4.5,0.15,0.23,0.38,5.3,132.5,98.4
74,Javonte Green,Bos,G-F,27.22,1,5.7,11.9,15.7,0.0,0,0.0,0,0.0,2,0.5,0.75,0.75,3.0,1.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,143.3,92.9
75,Jeff Green,Hou,F,34.12,12,28.4,59.3,16.5,12.0,17,0.8240000000000001,49,0.5710000000000001,54,0.426,0.607,0.629,11.6,5.0,9.8,1.6,8.9,0.5,0.5,1.25,6.4,116.1,105.8
76,Donta Hall,Bro,F,23.18,3,6.6,13.8,16.1,12.9,4,0.25,5,0.6,0,0.0,0.6,0.518,2.3,1.7,12.7,0.0,0.0,0.0,0.67,0.33,0.0,102.5,110.8
77,Tim Hardaway Jr.,Dal,G,28.57,6,33.9,70.7,21.7,2.9,11,0.727,41,0.512,54,0.35200000000000004,0.521,0.536,17.8,3.5,5.6,1.8,8.1,0.33,0.0,0.5,5.7,111.3,109.7
78,James Harden,Hou,G,31.13,12,37.3,77.7,32.4,13.9,116,0.845,111,0.631,117,0.33299999999999996,0.564,0.636,29.6,5.6,8.3,7.7,38.8,1.5,0.83,3.75,11.6,123.5,103.8
79,Montrezl Harrell,Lac,F-C,26.71,13,18.7,39.0,22.3,9.7,68,0.603,77,0.597,5,0.2,0.579,0.608,10.5,2.9,8.7,0.4,3.2,0.38,0.54,0.92,4.9,115.6,100.8
80,Gary Harris,Den,G,26.08,14,27.1,56.4,14.5,17.4,22,0.773,38,0.395,52,0.365,0.483,0.522,7.4,2.0,4.4,1.7,8.8,1.14,0.29,1.5,4.3,97.6,104.5
81,Joe Harris,Bro,G-F,29.1,2,36.2,75.3,15.8,10.8,4,0.5,11,0.455,12,0.583,0.674,0.6659999999999999,16.5,10.5,14.6,1.0,4.7,0.5,0.0,1.5,6.2,117.9,97.9
82,Tobias Harris,Phi,F,28.24,4,37.2,77.4,21.5,5.5,19,0.789,46,0.457,15,0.133,0.39299999999999996,0.45399999999999996,15.8,9.8,14.1,4.0,20.0,0.5,0.25,1.0,9.2,109.2,106.2
83,Gordon Hayward,Bos,F,30.56,5,31.4,65.5,17.2,11.6,8,0.875,26,0.5,24,0.292,0.47,0.504,10.8,4.0,7.1,2.8,13.4,1.4,0.4,1.4,6.3,103.4,104.6
84,Tyler Herro,Mia,G,20.73,21,33.6,70.1,22.0,12.3,54,0.87,149,0.483,128,0.375,0.52,0.557,16.0,5.0,8.7,3.7,17.9,0.38,0.1,2.0,7.9,106.1,109.8
85,Mario Hezonja,Por,F-G,25.63,5,13.6,28.3,16.4,11.2,4,0.75,15,0.467,7,0.28600000000000003,0.455,0.484,4.6,3.0,11.6,1.2,13.6,0.6,0.0,0.6,7.5,102.0,103.8
86,George Hill,Mil,G,34.44,10,26.8,55.9,15.1,16.9,26,0.8079999999999999,39,0.564,28,0.35700000000000004,0.552,0.606,9.5,2.4,4.8,3.1,16.3,0.6,0.0,1.6,6.2,114.6,102.9
